MeasureName,UsageType,MonthYear,M_Value,TransType
volume_k,Cash advance,APR 2017,776.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,APR 2017,2838.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,APR 2017,274.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,APR 2017,496.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,APR 2017,38.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,APR 2017,869.0,Foreign-TH
value_m,Cash withdrawal,APR 2017,5184.0,Foreign-TH
value_m,Cash advance,APR 2017,5456.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,APR 2017,16193.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,APR 2017,1897.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,APR 2017,2386.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,APR 2017,196.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,APR 2017,1784.0,Foreign-TH
volume_k,Cash withdrawal,MAY 2017,847.0,Foreign-TH
volume_k,Cash advance,MAY 2017,704.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,MAY 2017,2782.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,MAY 2017,290.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,MAY 2017,477.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,MAY 2017,40.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,MAY 2017,910.0,Foreign-TH
value_m,Cash withdrawal,MAY 2017,4635.0,Foreign-TH
value_m,Cash advance,MAY 2017,4834.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,MAY 2017,15283.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,MAY 2017,2027.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,MAY 2017,2087.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,MAY 2017,221.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,MAY 2017,1880.0,Foreign-TH
volume_k,Cash withdrawal,JUN 2017,795.0,Foreign-TH
volume_k,Cash advance,JUN 2017,665.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,JUN 2017,2596.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,JUN 2017,299.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,JUN 2017,493.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,JUN 2017,42.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,JUN 2017,1061.0,Foreign-TH
value_m,Cash withdrawal,JUN 2017,4388.0,Foreign-TH
value_m,Cash advance,JUN 2017,4721.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by credit cards,JUN 2017,14264.0,Foreign-TH
value_m,Purchasing via online channels by credit cards,JUN 2017,1981.0,Foreign-TH
value_m,Purchasing via EFTPOS terminal by debit cards,JUN 2017,2041.0,Foreign-TH
value_m,Purchasing via online channels by debit cards,JUN 2017,216.0,Foreign-TH
value_m,Purchasing at point of sale by e-money,JUN 2017,2173.0,Foreign-TH
volume_k,Cash withdrawal,JUL 2017,832.0,Foreign-TH
volume_k,Cash advance,JUL 2017,768.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by credit cards,JUL 2017,2900.0,Foreign-TH
volume_k,Purchasing via online channels by credit cards,JUL 2017,323.0,Foreign-TH
volume_k,Purchasing via EFTPOS terminal by debit cards,JUL 2017,616.0,Foreign-TH
volume_k,Purchasing via online channels by debit cards,JUL 2017,45.0,Foreign-TH
volume_k,Purchasing at point of sale by e-money,JUL 2017,1278.0,Foreign-TH
