BankType,ChannelType,MonthYear,M_Value,MeasureName,TransType
Non-bank,Mobile Phone,DEC 2010,35.54,volume_k,e-Payments (Royal Decree)
Non-bank,Others,DEC 2010,1966.46,volume_k,e-Payments (Royal Decree)
Bank,Counter,JAN 2011,812.92,volume_k,e-Payments (Royal Decree)
Bank,ATM,JAN 2011,25222.04,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,JAN 2011,17971.91,volume_k,e-Payments (Royal Decree)
Bank,Internet,JAN 2011,7047.78,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,JAN 2011,1460.0,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,JAN 2011,872.14,volume_k,e-Payments (Royal Decree)
Bank,Telephone,JAN 2011,283.4,volume_k,e-Payments (Royal Decree)
Bank,Others,JAN 2011,1083.81,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,JAN 2011,862.87,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,JAN 2011,7641.9,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,JAN 2011,12729.8,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,JAN 2011,34.93,volume_k,e-Payments (Royal Decree)
Non-bank,Others,JAN 2011,1715.27,volume_k,e-Payments (Royal Decree)
Bank,Counter,FEB 2011,797.94,volume_k,e-Payments (Royal Decree)
Bank,ATM,FEB 2011,24959.34,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,FEB 2011,16274.05,volume_k,e-Payments (Royal Decree)
Bank,Internet,FEB 2011,6931.24,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,FEB 2011,1458.39,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,FEB 2011,852.84,volume_k,e-Payments (Royal Decree)
Bank,Telephone,FEB 2011,263.53,volume_k,e-Payments (Royal Decree)
Bank,Others,FEB 2011,1009.53,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,FEB 2011,981.18,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,FEB 2011,6730.7,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,FEB 2011,9746.14,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,FEB 2011,33.11,volume_k,e-Payments (Royal Decree)
Non-bank,Others,FEB 2011,1857.19,volume_k,e-Payments (Royal Decree)
Bank,Counter,MAR 2011,879.88,volume_k,e-Payments (Royal Decree)
Bank,ATM,MAR 2011,27301.64,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,MAR 2011,17684.42,volume_k,e-Payments (Royal Decree)
Bank,Internet,MAR 2011,7909.76,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,MAR 2011,1638.49,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,MAR 2011,918.23,volume_k,e-Payments (Royal Decree)
Bank,Telephone,MAR 2011,299.75,volume_k,e-Payments (Royal Decree)
Bank,Others,MAR 2011,1106.48,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,MAR 2011,973.74,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,MAR 2011,7304.04,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,MAR 2011,11134.73,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,MAR 2011,38.65,volume_k,e-Payments (Royal Decree)
Non-bank,Others,MAR 2011,1711.41,volume_k,e-Payments (Royal Decree)
Bank,Counter,APR 2011,719.12,volume_k,e-Payments (Royal Decree)
Bank,ATM,APR 2011,24691.36,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,APR 2011,17160.55,volume_k,e-Payments (Royal Decree)
Bank,Internet,APR 2011,5970.27,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,APR 2011,1514.59,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,APR 2011,904.7,volume_k,e-Payments (Royal Decree)
Bank,Telephone,APR 2011,267.03,volume_k,e-Payments (Royal Decree)
Bank,Others,APR 2011,1043.63,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,APR 2011,600.58,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,APR 2011,7409.49,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,APR 2011,10722.59,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,APR 2011,36.5,volume_k,e-Payments (Royal Decree)
Non-bank,Others,APR 2011,1661.86,volume_k,e-Payments (Royal Decree)
Bank,Counter,MAY 2011,833.05,volume_k,e-Payments (Royal Decree)
Bank,ATM,MAY 2011,26599.87,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,MAY 2011,18144.85,volume_k,e-Payments (Royal Decree)
Bank,Internet,MAY 2011,6589.09,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,MAY 2011,1590.05,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,MAY 2011,857.59,volume_k,e-Payments (Royal Decree)
Bank,Telephone,MAY 2011,283.21,volume_k,e-Payments (Royal Decree)
Bank,Others,MAY 2011,1141.94,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,MAY 2011,866.11,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,MAY 2011,8837.96,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,MAY 2011,11179.92,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,MAY 2011,38.21,volume_k,e-Payments (Royal Decree)
Non-bank,Others,MAY 2011,775.48,volume_k,e-Payments (Royal Decree)
Bank,Counter,JUN 2011,861.35,volume_k,e-Payments (Royal Decree)
Bank,ATM,JUN 2011,27354.8,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,JUN 2011,17268.19,volume_k,e-Payments (Royal Decree)
Bank,Internet,JUN 2011,6698.03,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,JUN 2011,1613.55,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,JUN 2011,886.78,volume_k,e-Payments (Royal Decree)
Bank,Telephone,JUN 2011,281.35,volume_k,e-Payments (Royal Decree)
Bank,Others,JUN 2011,1161.98,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,JUN 2011,985.42,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,JUN 2011,8092.31,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,JUN 2011,11320.13,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,JUN 2011,38.66,volume_k,e-Payments (Royal Decree)
Non-bank,Others,JUN 2011,725.69,volume_k,e-Payments (Royal Decree)
Bank,Counter,JUL 2011,782.66,volume_k,e-Payments (Royal Decree)
Bank,ATM,JUL 2011,27948.55,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,JUL 2011,18054.01,volume_k,e-Payments (Royal Decree)
Bank,Internet,JUL 2011,6824.24,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,JUL 2011,1666.7,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,JUL 2011,850.88,volume_k,e-Payments (Royal Decree)
Bank,Telephone,JUL 2011,201.06,volume_k,e-Payments (Royal Decree)
Bank,Others,JUL 2011,1213.22,volume_k,e-Payments (Royal Decree)
Non-bank,Counter,JUL 2011,901.05,volume_k,e-Payments (Royal Decree)
Non-bank,EDC/EFTPOS,JUL 2011,8399.02,volume_k,e-Payments (Royal Decree)
Non-bank,Internet,JUL 2011,11814.87,volume_k,e-Payments (Royal Decree)
Non-bank,Mobile Phone,JUL 2011,39.4,volume_k,e-Payments (Royal Decree)
Non-bank,Others,JUL 2011,743.56,volume_k,e-Payments (Royal Decree)
Bank,Counter,AUG 2011,906.31,volume_k,e-Payments (Royal Decree)
Bank,ATM,AUG 2011,28925.82,volume_k,e-Payments (Royal Decree)
Bank,EDC/EFTPOS,AUG 2011,18987.96,volume_k,e-Payments (Royal Decree)
Bank,Internet,AUG 2011,7405.15,volume_k,e-Payments (Royal Decree)
Bank,Mobile Phone,AUG 2011,1749.94,volume_k,e-Payments (Royal Decree)
Bank,Leased Line,AUG 2011,906.58,volume_k,e-Payments (Royal Decree)
Bank,Telephone,AUG 2011,213.01,volume_k,e-Payments (Royal Decree)
