ChannelType,MeasureName,UsageType,MonthYear,M_Value,TransType
Internet Banking,volume_k,,SEP 2020,38637.0,Online Banking
Internet Banking,value_b,,SEP 2020,1871.0,Online Banking
Mobile Banking,agreements,,SEP 2020,65160583.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,SEP 2020,814781.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,SEP 2020,38536.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,SEP 2020,3507.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,SEP 2020,68.0,Online Banking
Internet Banking,agreements,,OCT 2020,34455265.0,Online Banking
Internet Banking,volume_k,,OCT 2020,40347.0,Online Banking
Internet Banking,value_b,,OCT 2020,1863.0,Online Banking
Mobile Banking,agreements,,OCT 2020,66131165.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,OCT 2020,878632.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,OCT 2020,41551.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,OCT 2020,3590.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,OCT 2020,73.0,Online Banking
Internet Banking,agreements,,NOV 2020,34695924.0,Online Banking
Internet Banking,volume_k,,NOV 2020,39910.0,Online Banking
Internet Banking,value_b,,NOV 2020,2079.0,Online Banking
Mobile Banking,agreements,,NOV 2020,67609503.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,NOV 2020,949796.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,NOV 2020,40849.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,NOV 2020,3730.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,NOV 2020,75.0,Online Banking
Internet Banking,agreements,,DEC 2020,34946211.0,Online Banking
Internet Banking,volume_k,,DEC 2020,40707.0,Online Banking
Internet Banking,value_b,,DEC 2020,2220.0,Online Banking
Mobile Banking,agreements,,DEC 2020,68697059.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,DEC 2020,1002558.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,DEC 2020,44815.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,DEC 2020,4160.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,DEC 2020,89.0,Online Banking
Internet Banking,agreements,,JAN 2021,35150209.0,Online Banking
Internet Banking,volume_k,,JAN 2021,41961.0,Online Banking
Internet Banking,value_b,,JAN 2021,2158.0,Online Banking
Mobile Banking,agreements,,JAN 2021,69092804.0,Online Banking
Mobile Banking,volume_k,for fund transfer and payment,JAN 2021,1018980.0,Online Banking
Mobile Banking,volume_k,for cash withdrawal,JAN 2021,40695.0,Online Banking
Mobile Banking,value_b,for fund transfer and payment,JAN 2021,3993.0,Online Banking
Mobile Banking,value_b,for cash withdrawal,JAN 2021,76.0,Online Banking
Internet Banking,agreements,,FEB 2021,35373341.0,Online Banking
Internet Banking,volume_k,,FEB 2021,41067.0,Online Banking
