MeasureName,BankType,MonthYear,M_Value,TransType
Topup_Value,Non-bank,JAN 2013,3332.84,e-Money
Spending_Value,Bank,JAN 2013,96.34,e-Money
Spending_Value,Non-bank,JAN 2013,3363.27,e-Money
Cards_Account,Bank,FEB 2013,1.11,e-Money
Cards_Account,Non-bank,FEB 2013,19.95,e-Money
Topup_Value,Bank,FEB 2013,127.73,e-Money
Topup_Value,Non-bank,FEB 2013,3248.03,e-Money
Spending_Value,Bank,FEB 2013,109.83,e-Money
Spending_Value,Non-bank,FEB 2013,3220.72,e-Money
Cards_Account,Bank,MAR 2013,1.26,e-Money
Cards_Account,Non-bank,MAR 2013,20.48,e-Money
Topup_Value,Bank,MAR 2013,703.98,e-Money
Topup_Value,Non-bank,MAR 2013,3554.73,e-Money
Spending_Value,Bank,MAR 2013,127.44,e-Money
Spending_Value,Non-bank,MAR 2013,3542.92,e-Money
Cards_Account,Bank,APR 2013,1.32,e-Money
Cards_Account,Non-bank,APR 2013,20.65,e-Money
Topup_Value,Bank,APR 2013,145.32,e-Money
Topup_Value,Non-bank,APR 2013,3398.57,e-Money
Spending_Value,Bank,APR 2013,414.48,e-Money
Spending_Value,Non-bank,APR 2013,3426.43,e-Money
Cards_Account,Bank,MAY 2013,1.34,e-Money
Cards_Account,Non-bank,MAY 2013,20.83,e-Money
Topup_Value,Bank,MAY 2013,129.79,e-Money
Topup_Value,Non-bank,MAY 2013,3423.31,e-Money
Spending_Value,Bank,MAY 2013,158.02,e-Money
Spending_Value,Non-bank,MAY 2013,3399.7,e-Money
Cards_Account,Bank,JUN 2013,1.44,e-Money
Cards_Account,Non-bank,JUN 2013,21.02,e-Money
Topup_Value,Bank,JUN 2013,149.46,e-Money
Topup_Value,Non-bank,JUN 2013,3347.28,e-Money
Spending_Value,Bank,JUN 2013,181.68,e-Money
Spending_Value,Non-bank,JUN 2013,3385.82,e-Money
Cards_Account,Bank,JUL 2013,1.46,e-Money
Cards_Account,Non-bank,JUL 2013,21.27,e-Money
Topup_Value,Bank,JUL 2013,151.63,e-Money
Topup_Value,Non-bank,JUL 2013,3668.88,e-Money
Spending_Value,Bank,JUL 2013,166.95,e-Money
Spending_Value,Non-bank,JUL 2013,3635.5,e-Money
Cards_Account,Bank,AUG 2013,1.56,e-Money
Cards_Account,Non-bank,AUG 2013,21.7,e-Money
Topup_Value,Bank,AUG 2013,164.88,e-Money
Topup_Value,Non-bank,AUG 2013,4526.32,e-Money
Spending_Value,Bank,AUG 2013,172.43,e-Money
Spending_Value,Non-bank,AUG 2013,4489.94,e-Money
Cards_Account,Bank,SEP 2013,1.53,e-Money
Cards_Account,Non-bank,SEP 2013,21.88,e-Money
Topup_Value,Bank,SEP 2013,165.25,e-Money
Topup_Value,Non-bank,SEP 2013,4344.37,e-Money
Spending_Value,Bank,SEP 2013,164.58,e-Money
Spending_Value,Non-bank,SEP 2013,4373.45,e-Money
Cards_Account,Bank,OCT 2013,1.57,e-Money
Cards_Account,Non-bank,OCT 2013,22.06,e-Money
Topup_Value,Bank,OCT 2013,164.78,e-Money
Topup_Value,Non-bank,OCT 2013,4641.55,e-Money
