ChannelType,MonthYear,M_Value,PaymentType
ATM card,MAY 2018,8098319.0,Plastic cards
Debit card,MAY 2018,58191748.0,Plastic cards
Credit card,JUN 2018,21031216.0,Plastic cards
ATM card,JUN 2018,7992960.0,Plastic cards
Debit card,JUN 2018,58853469.0,Plastic cards
Credit card,JUL 2018,21174400.0,Plastic cards
ATM card,JUL 2018,7738626.0,Plastic cards
Debit card,JUL 2018,59739695.0,Plastic cards
Credit card,AUG 2018,21410240.0,Plastic cards
ATM card,AUG 2018,7542966.0,Plastic cards
Debit card,AUG 2018,60558308.0,Plastic cards
Credit card,SEP 2018,21570723.0,Plastic cards
ATM card,SEP 2018,7416205.0,Plastic cards
Debit card,SEP 2018,60349353.0,Plastic cards
Credit card,OCT 2018,21744227.0,Plastic cards
ATM card,OCT 2018,7340957.0,Plastic cards
Debit card,OCT 2018,57062454.0,Plastic cards
Credit card,NOV 2018,21955379.0,Plastic cards
ATM card,NOV 2018,7190161.0,Plastic cards
Debit card,NOV 2018,57323529.0,Plastic cards
Credit card,DEC 2018,22105472.0,Plastic cards
ATM card,DEC 2018,7070699.0,Plastic cards
Debit card,DEC 2018,57408209.0,Plastic cards
Credit card,JAN 2019,22489842.0,Plastic cards
ATM card,JAN 2019,17286057.0,Plastic cards
Debit card,JAN 2019,62766523.0,Plastic cards
Credit card,FEB 2019,22639793.0,Plastic cards
ATM card,FEB 2019,17149885.0,Plastic cards
Debit card,FEB 2019,63174692.0,Plastic cards
Credit card,MAR 2019,22748177.0,Plastic cards
ATM card,MAR 2019,16964334.0,Plastic cards
Debit card,MAR 2019,63316983.0,Plastic cards
Credit card,APR 2019,22931265.0,Plastic cards
ATM card,APR 2019,16839648.0,Plastic cards
Debit card,APR 2019,63769557.0,Plastic cards
Credit card,MAY 2019,23195820.0,Plastic cards
ATM card,MAY 2019,16749828.0,Plastic cards
Debit card,MAY 2019,64190382.0,Plastic cards
Credit card,JUN 2019,23399934.0,Plastic cards
ATM card,JUN 2019,16702684.0,Plastic cards
Debit card,JUN 2019,64417460.0,Plastic cards
Credit card,JUL 2019,23582094.0,Plastic cards
ATM card,JUL 2019,16646209.0,Plastic cards
Debit card,JUL 2019,65011214.0,Plastic cards
Credit card,AUG 2019,23319866.0,Plastic cards
ATM card,AUG 2019,16505805.0,Plastic cards
Debit card,AUG 2019,65109895.0,Plastic cards
Credit card,SEP 2019,23495102.0,Plastic cards
ATM card,SEP 2019,15984168.0,Plastic cards
Debit card,SEP 2019,64043918.0,Plastic cards
Credit card,OCT 2019,23662216.0,Plastic cards
ATM card,OCT 2019,15870205.0,Plastic cards
Debit card,OCT 2019,63901711.0,Plastic cards
Credit card,NOV 2019,23832726.0,Plastic cards
ATM card,NOV 2019,15709981.0,Plastic cards
Debit card,NOV 2019,64150726.0,Plastic cards
Credit card,DEC 2019,23998653.0,Plastic cards
ATM card,DEC 2019,15318234.0,Plastic cards
Debit card,DEC 2019,64772849.0,Plastic cards
Credit card,JAN 2020,24127451.0,Plastic cards
ATM card,JAN 2020,9956668.0,Plastic cards
Debit card,JAN 2020,63499727.0,Plastic cards
Credit card,FEB 2020,24253409.0,Plastic cards
ATM card,FEB 2020,9888385.0,Plastic cards
Debit card,FEB 2020,63457829.0,Plastic cards
Credit card,MAR 2020,24335868.0,Plastic cards
ATM card,MAR 2020,9938619.0,Plastic cards
Debit card,MAR 2020,63320397.0,Plastic cards
Credit card,APR 2020,24325497.0,Plastic cards
ATM card,APR 2020,10099957.0,Plastic cards
Debit card,APR 2020,63893466.0,Plastic cards
Credit card,MAY 2020,24334897.0,Plastic cards
ATM card,MAY 2020,10769325.0,Plastic cards
Debit card,MAY 2020,64639183.0,Plastic cards
Credit card,JUN 2020,24386502.0,Plastic cards
ATM card,JUN 2020,11271622.0,Plastic cards
Debit card,JUN 2020,65024130.0,Plastic cards
Credit card,JUL 2020,24473197.0,Plastic cards
ATM card,JUL 2020,11309806.0,Plastic cards
Debit card,JUL 2020,65204945.0,Plastic cards
Credit card,AUG 2020,24511996.0,Plastic cards
ATM card,AUG 2020,11239327.0,Plastic cards
Debit card,AUG 2020,65107059.0,Plastic cards
Credit card,SEP 2020,24544472.0,Plastic cards
ATM card,SEP 2020,10793991.0,Plastic cards
Debit card,SEP 2020,64202658.0,Plastic cards
Credit card,OCT 2020,24566183.0,Plastic cards
ATM card,OCT 2020,10772035.0,Plastic cards
Debit card,OCT 2020,63526026.0,Plastic cards
Credit card,NOV 2020,24580919.0,Plastic cards
ATM card,NOV 2020,10733614.0,Plastic cards
Debit card,NOV 2020,63849747.0,Plastic cards
Credit card,DEC 2020,24603787.0,Plastic cards
ATM card,DEC 2020,10688019.0,Plastic cards
Debit card,DEC 2020,64051972.0,Plastic cards
Credit card,JAN 2021,24590371.0,Plastic cards
ATM card,JAN 2021,10676045.0,Plastic cards
Debit card,JAN 2021,64259197.0,Plastic cards
Credit card,FEB 2021,24626610.0,Plastic cards
ATM card,FEB 2021,10657593.0,Plastic cards
Debit card,FEB 2021,64305201.0,Plastic cards
Credit card,MAR 2021,24726865.0,Plastic cards
ATM card,MAR 2021,10657334.0,Plastic cards
Debit card,MAR 2021,64563577.0,Plastic cards
Credit card,APR 2021,24817824.0,Plastic cards
ATM card,APR 2021,10671060.0,Plastic cards
Debit card,APR 2021,64713742.0,Plastic cards
Credit card,MAY 2021,24834937.0,Plastic cards
ATM card,MAY 2021,10718590.0,Plastic cards
Debit card,MAY 2021,64200631.0,Plastic cards
Credit card,JUN 2021,24930862.0,Plastic cards
ATM card,JUN 2021,10782511.0,Plastic cards
Debit card,JUN 2021,64208867.0,Plastic cards
Credit card,JUL 2021,25008207.0,Plastic cards
ATM card,JUL 2021,10848663.0,Plastic cards
Debit card,JUL 2021,64162211.0,Plastic cards
Credit card,AUG 2021,25021380.0,Plastic cards
ATM card,AUG 2021,10972120.0,Plastic cards
Debit card,AUG 2021,64178191.0,Plastic cards
Credit card,SEP 2021,25053643.0,Plastic cards
ATM card,SEP 2021,11049064.0,Plastic cards
Debit card,SEP 2021,63429533.0,Plastic cards
Credit card,OCT 2021,25018690.0,Plastic cards
ATM card,OCT 2021,11093290.0,Plastic cards
Debit card,OCT 2021,63263642.0,Plastic cards
Credit card,NOV 2021,24027622.0,Plastic cards
ATM card,NOV 2021,11124316.0,Plastic cards
Debit card,NOV 2021,64894799.0,Plastic cards
Credit card,DEC 2021,24091730.0,Plastic cards
ATM card,DEC 2021,11219440.0,Plastic cards
Debit card,DEC 2021,64846431.0,Plastic cards
Credit card,JAN 2022,24135544.0,Plastic cards
ATM card,JAN 2022,11252883.0,Plastic cards
Debit card,JAN 2022,64980338.0,Plastic cards
Credit card,FEB 2022,24191834.0,Plastic cards
ATM card,FEB 2022,11253299.0,Plastic cards
Debit card,FEB 2022,64807396.0,Plastic cards
Credit card,MAR 2022,24290679.0,Plastic cards
ATM card,MAR 2022,11232745.0,Plastic cards
Debit card,MAR 2022,63579754.0,Plastic cards
Credit card,APR 2022,24362676.0,Plastic cards
ATM card,APR 2022,11153551.0,Plastic cards
Debit card,APR 2022,63504082.0,Plastic cards
Credit card,MAY 2022,24436755.0,Plastic cards
ATM card,MAY 2022,11063205.0,Plastic cards
Debit card,MAY 2022,63509238.0,Plastic cards
Credit card,JUN 2022,24516886.0,Plastic cards
ATM card,JUN 2022,10994801.0,Plastic cards
Debit card,JUN 2022,63551921.0,Plastic cards
Credit card,JUL 2022,24579189.0,Plastic cards
ATM card,JUL 2022,11516084.0,Plastic cards
Debit card,JUL 2022,63434426.0,Plastic cards
Credit card,AUG 2022,24673811.0,Plastic cards
ATM card,AUG 2022,10740942.0,Plastic cards
Debit card,AUG 2022,63434426.0,Plastic cards
