MeasureName,PaymentType,MonthYear,M_Value,TransType
value_b,Others,MAR 2015,217.0,Bill Pay
volume_k,Cash,APR 2015,32433.0,Bill Pay
volume_k,Cheque,APR 2015,195.0,Bill Pay
volume_k,Others,APR 2015,494.0,Bill Pay
value_b,Cash,APR 2015,279.0,Bill Pay
value_b,Cheque,APR 2015,217.0,Bill Pay
value_b,Others,APR 2015,170.0,Bill Pay
volume_k,Cash,MAY 2015,34491.0,Bill Pay
volume_k,Cheque,MAY 2015,192.0,Bill Pay
volume_k,Others,MAY 2015,498.0,Bill Pay
value_b,Cash,MAY 2015,280.0,Bill Pay
value_b,Cheque,MAY 2015,195.0,Bill Pay
value_b,Others,MAY 2015,122.0,Bill Pay
volume_k,Cash,JUN 2015,33358.0,Bill Pay
volume_k,Cheque,JUN 2015,207.0,Bill Pay
volume_k,Others,JUN 2015,484.0,Bill Pay
value_b,Cash,JUN 2015,289.0,Bill Pay
value_b,Cheque,JUN 2015,216.0,Bill Pay
value_b,Others,JUN 2015,146.0,Bill Pay
volume_k,Cash,JUL 2015,34853.0,Bill Pay
volume_k,Cheque,JUL 2015,224.0,Bill Pay
volume_k,Others,JUL 2015,478.0,Bill Pay
value_b,Cash,JUL 2015,289.0,Bill Pay
value_b,Cheque,JUL 2015,207.0,Bill Pay
value_b,Others,JUL 2015,109.0,Bill Pay
volume_k,Cash,AUG 2015,35322.0,Bill Pay
volume_k,Cheque,AUG 2015,232.0,Bill Pay
volume_k,Others,AUG 2015,452.0,Bill Pay
value_b,Cash,AUG 2015,279.0,Bill Pay
value_b,Cheque,AUG 2015,228.0,Bill Pay
value_b,Others,AUG 2015,96.0,Bill Pay
volume_k,Cash,SEP 2015,34642.0,Bill Pay
volume_k,Cheque,SEP 2015,247.0,Bill Pay
volume_k,Others,SEP 2015,434.0,Bill Pay
value_b,Cash,SEP 2015,277.0,Bill Pay
value_b,Cheque,SEP 2015,263.0,Bill Pay
value_b,Others,SEP 2015,108.0,Bill Pay
volume_k,Cash,OCT 2015,36760.0,Bill Pay
volume_k,Cheque,OCT 2015,233.0,Bill Pay
volume_k,Others,OCT 2015,459.0,Bill Pay
value_b,Cash,OCT 2015,279.0,Bill Pay
value_b,Cheque,OCT 2015,219.0,Bill Pay
value_b,Others,OCT 2015,95.0,Bill Pay
volume_k,Cash,NOV 2015,35204.0,Bill Pay
volume_k,Cheque,NOV 2015,236.0,Bill Pay
volume_k,Others,NOV 2015,452.0,Bill Pay
value_b,Cash,NOV 2015,280.0,Bill Pay
value_b,Cheque,NOV 2015,228.0,Bill Pay
value_b,Others,NOV 2015,93.0,Bill Pay
volume_k,Cash,DEC 2015,37669.0,Bill Pay
volume_k,Cheque,DEC 2015,247.0,Bill Pay
volume_k,Others,DEC 2015,533.0,Bill Pay
value_b,Cash,DEC 2015,304.0,Bill Pay
value_b,Cheque,DEC 2015,258.0,Bill Pay
value_b,Others,DEC 2015,139.0,Bill Pay
volume_k,Cash,JAN 2016,36515.0,Bill Pay
volume_k,Cheque,JAN 2016,246.0,Bill Pay
volume_k,Others,JAN 2016,448.0,Bill Pay
value_b,Cash,JAN 2016,287.0,Bill Pay
value_b,Cheque,JAN 2016,197.0,Bill Pay
value_b,Others,JAN 2016,85.0,Bill Pay
volume_k,Cash,FEB 2016,35204.0,Bill Pay
volume_k,Cheque,FEB 2016,235.0,Bill Pay
volume_k,Others,FEB 2016,421.0,Bill Pay
value_b,Cash,FEB 2016,277.0,Bill Pay
value_b,Cheque,FEB 2016,220.0,Bill Pay
value_b,Others,FEB 2016,94.0,Bill Pay
volume_k,Cash,MAR 2016,38511.0,Bill Pay
volume_k,Cheque,MAR 2016,256.0,Bill Pay
volume_k,Others,MAR 2016,468.0,Bill Pay
value_b,Cash,MAR 2016,305.0,Bill Pay
value_b,Cheque,MAR 2016,248.0,Bill Pay
value_b,Others,MAR 2016,103.0,Bill Pay
volume_k,Cash,APR 2016,35953.0,Bill Pay
volume_k,Cheque,APR 2016,230.0,Bill Pay
volume_k,Others,APR 2016,418.0,Bill Pay
value_b,Cash,APR 2016,282.0,Bill Pay
value_b,Cheque,APR 2016,227.0,Bill Pay
value_b,Others,APR 2016,87.0,Bill Pay
volume_k,Cash,MAY 2016,37867.0,Bill Pay
volume_k,Cheque,MAY 2016,255.0,Bill Pay
volume_k,Others,MAY 2016,462.0,Bill Pay
value_b,Cash,MAY 2016,303.0,Bill Pay
value_b,Cheque,MAY 2016,251.0,Bill Pay
value_b,Others,MAY 2016,92.0,Bill Pay
volume_k,Cash,JUN 2016,36788.0,Bill Pay
volume_k,Cheque,JUN 2016,248.0,Bill Pay
volume_k,Others,JUN 2016,447.0,Bill Pay
value_b,Cash,JUN 2016,292.0,Bill Pay
value_b,Cheque,JUN 2016,219.0,Bill Pay
value_b,Others,JUN 2016,98.0,Bill Pay
volume_k,Cash,JUL 2016,38748.0,Bill Pay
volume_k,Cheque,JUL 2016,275.0,Bill Pay
volume_k,Others,JUL 2016,450.0,Bill Pay
value_b,Cash,JUL 2016,270.0,Bill Pay
value_b,Cheque,JUL 2016,213.0,Bill Pay
value_b,Others,JUL 2016,121.0,Bill Pay
volume_k,Cash,AUG 2016,38820.0,Bill Pay
volume_k,Cheque,AUG 2016,305.0,Bill Pay
volume_k,Others,AUG 2016,477.0,Bill Pay
value_b,Cash,AUG 2016,292.0,Bill Pay
value_b,Cheque,AUG 2016,236.0,Bill Pay
value_b,Others,AUG 2016,99.0,Bill Pay
volume_k,Cash,SEP 2016,38147.0,Bill Pay
volume_k,Cheque,SEP 2016,314.0,Bill Pay
volume_k,Others,SEP 2016,461.0,Bill Pay
value_b,Cash,SEP 2016,287.0,Bill Pay
value_b,Cheque,SEP 2016,219.0,Bill Pay
value_b,Others,SEP 2016,88.0,Bill Pay
volume_k,Cash,OCT 2016,40180.0,Bill Pay
volume_k,Cheque,OCT 2016,291.0,Bill Pay
volume_k,Others,OCT 2016,473.0,Bill Pay
value_b,Cash,OCT 2016,289.0,Bill Pay
value_b,Cheque,OCT 2016,234.0,Bill Pay
value_b,Others,OCT 2016,78.0,Bill Pay
volume_k,Cash,NOV 2016,39439.0,Bill Pay
volume_k,Cheque,NOV 2016,305.0,Bill Pay
volume_k,Others,NOV 2016,470.0,Bill Pay
