MeasureName,UsageType,MonthYear,M_Value,TransType
volume_k,Purchasing via online channels by credit cards,FEB 2017,1403.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,FEB 2017,745.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,FEB 2017,801.0,TH-Aboard
value_m,Cash withdrawal,FEB 2017,1975.0,TH-Aboard
value_m,Cash advance,FEB 2017,37.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,FEB 2017,5837.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,FEB 2017,2917.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,FEB 2017,1063.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,FEB 2017,714.0,TH-Aboard
volume_k,Cash withdrawal,MAR 2017,230.0,TH-Aboard
volume_k,Cash advance,MAR 2017,4.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,MAR 2017,1348.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,MAR 2017,1512.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,MAR 2017,796.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,MAR 2017,890.0,TH-Aboard
value_m,Cash withdrawal,MAR 2017,2244.0,TH-Aboard
value_m,Cash advance,MAR 2017,40.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,MAR 2017,7167.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,MAR 2017,3247.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,MAR 2017,1192.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,MAR 2017,785.0,TH-Aboard
volume_k,Cash withdrawal,APR 2017,247.0,TH-Aboard
volume_k,Cash advance,APR 2017,5.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,APR 2017,1707.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,APR 2017,1676.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,APR 2017,976.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,APR 2017,991.0,TH-Aboard
value_m,Cash withdrawal,APR 2017,2322.0,TH-Aboard
value_m,Cash advance,APR 2017,46.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,APR 2017,10038.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,APR 2017,3246.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,APR 2017,1295.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,APR 2017,782.0,TH-Aboard
volume_k,Cash withdrawal,MAY 2017,239.0,TH-Aboard
volume_k,Cash advance,MAY 2017,5.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,MAY 2017,1566.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,MAY 2017,1645.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,MAY 2017,964.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,MAY 2017,1105.0,TH-Aboard
value_m,Cash withdrawal,MAY 2017,2285.0,TH-Aboard
value_m,Cash advance,MAY 2017,48.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,MAY 2017,8126.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,MAY 2017,2943.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,MAY 2017,1258.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,MAY 2017,796.0,TH-Aboard
volume_k,Cash withdrawal,JUN 2017,233.0,TH-Aboard
volume_k,Cash advance,JUN 2017,4.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,JUN 2017,1297.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,JUN 2017,1702.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,JUN 2017,1034.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,JUN 2017,994.0,TH-Aboard
value_m,Cash withdrawal,JUN 2017,2356.0,TH-Aboard
value_m,Cash advance,JUN 2017,43.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,JUN 2017,6402.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,JUN 2017,2903.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,JUN 2017,1285.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,JUN 2017,748.0,TH-Aboard
volume_k,Cash withdrawal,JUL 2017,228.0,TH-Aboard
volume_k,Cash advance,JUL 2017,5.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,JUL 2017,1424.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,JUL 2017,1775.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,JUL 2017,1051.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,JUL 2017,1191.0,TH-Aboard
value_m,Cash withdrawal,JUL 2017,2338.0,TH-Aboard
value_m,Cash advance,JUL 2017,48.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,JUL 2017,7051.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,JUL 2017,3006.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,JUL 2017,1352.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,JUL 2017,823.0,TH-Aboard
volume_k,Cash withdrawal,AUG 2017,211.0,TH-Aboard
volume_k,Cash advance,AUG 2017,5.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,AUG 2017,1297.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,AUG 2017,1808.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,AUG 2017,1068.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,AUG 2017,1206.0,TH-Aboard
value_m,Cash withdrawal,AUG 2017,2196.0,TH-Aboard
value_m,Cash advance,AUG 2017,47.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,AUG 2017,5983.0,TH-Aboard
value_m,Purchasing via online channels by credit cards,AUG 2017,3135.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by debit cards,AUG 2017,1356.0,TH-Aboard
value_m,Purchasing via online channels by debit cards,AUG 2017,824.0,TH-Aboard
volume_k,Cash withdrawal,SEP 2017,227.0,TH-Aboard
volume_k,Cash advance,SEP 2017,4.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by credit cards,SEP 2017,1301.0,TH-Aboard
volume_k,Purchasing via online channels by credit cards,SEP 2017,1735.0,TH-Aboard
volume_k,Purchasing via EFTPOS terminal by debit cards,SEP 2017,1044.0,TH-Aboard
volume_k,Purchasing via online channels by debit cards,SEP 2017,1323.0,TH-Aboard
value_m,Cash withdrawal,SEP 2017,2333.0,TH-Aboard
value_m,Cash advance,SEP 2017,41.0,TH-Aboard
value_m,Purchasing via EFTPOS terminal by credit cards,SEP 2017,6645.0,TH-Aboard
