PaymentType,SystemType,ChannelType,MonthYear,M_Value,MeasureName,TransType
Cheque,Inhouse,,JAN 2011,3336.0,volume_k,Transactions processed
Cheque,Interbank,,JAN 2011,6206.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,JAN 2011,198.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,JAN 2011,12970.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,JAN 2011,6725.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),JAN 2011,2088.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,JAN 2011,7895.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,JAN 2011,898.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,JAN 2011,813.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,JAN 2011,15811.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,JAN 2011,8855.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,JAN 2011,1963.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,JAN 2011,23893.0,volume_k,Transactions processed
e-Payments,e-Money,,JAN 2011,26136.0,volume_k,Transactions processed
Cheque,Inhouse,,FEB 2011,2944.0,volume_k,Transactions processed
Cheque,Interbank,,FEB 2011,5877.0,volume_k,Transactions processed
e-Payments,BAHTNET - 3rd Party,,FEB 2011,191.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct credit,FEB 2011,13160.0,volume_k,Transactions processed
e-Payments,Bulk Payment,Direct debit,FEB 2011,6528.0,volume_k,Transactions processed
e-Payments,Bulk Payment,ITMX Bulk Payment (SMART),FEB 2011,2062.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),ATM,FEB 2011,7721.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Internet/Mobile Phone,FEB 2011,910.0,volume_k,Transactions processed
e-Payments,Interbank Funds Transfer (Online Retail Funds Transfer: ORFT),Counter,FEB 2011,798.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,ATM,FEB 2011,15467.0,volume_k,Transactions processed
e-Payments,Inhouse Funds Transfer,Internet/Mobile/Telephone,FEB 2011,8701.0,volume_k,Transactions processed
e-Payments,Payment cards,Debit card,FEB 2011,1834.0,volume_k,Transactions processed
e-Payments,Payment cards,Credit card,FEB 2011,21387.0,volume_k,Transactions processed
