SystemType,ChannelType,MonthYear,M_Value,TransType,MeasureName
ATM,Debit card,JUN 2015,11090.0,Payment cards,value
EFTPOS Terminal,Credit card,JUL 2015,5190.0,Payment cards,value
EFTPOS Terminal,Debit card,JUL 2015,235.0,Payment cards,value
ATM,ATM card,JUL 2015,7812.0,Payment cards,value
ATM,Debit card,JUL 2015,11324.0,Payment cards,value
EFTPOS Terminal,Credit card,AUG 2015,5185.0,Payment cards,value
EFTPOS Terminal,Debit card,AUG 2015,242.0,Payment cards,value
ATM,ATM card,AUG 2015,7638.0,Payment cards,value
ATM,Debit card,AUG 2015,11097.0,Payment cards,value
EFTPOS Terminal,Credit card,SEP 2015,4856.0,Payment cards,value
EFTPOS Terminal,Debit card,SEP 2015,220.0,Payment cards,value
ATM,ATM card,SEP 2015,7271.0,Payment cards,value
ATM,Debit card,SEP 2015,10731.0,Payment cards,value
EFTPOS Terminal,Credit card,OCT 2015,5146.0,Payment cards,value
EFTPOS Terminal,Debit card,OCT 2015,238.0,Payment cards,value
ATM,ATM card,OCT 2015,8050.0,Payment cards,value
ATM,Debit card,OCT 2015,11527.0,Payment cards,value
EFTPOS Terminal,Credit card,NOV 2015,5454.0,Payment cards,value
EFTPOS Terminal,Debit card,NOV 2015,258.0,Payment cards,value
ATM,ATM card,NOV 2015,7510.0,Payment cards,value
ATM,Debit card,NOV 2015,11056.0,Payment cards,value
EFTPOS Terminal,Credit card,DEC 2015,7595.0,Payment cards,value
EFTPOS Terminal,Debit card,DEC 2015,284.0,Payment cards,value
ATM,ATM card,DEC 2015,8859.0,Payment cards,value
ATM,Debit card,DEC 2015,12924.0,Payment cards,value
EFTPOS Terminal,Credit card,JAN 2016,6053.0,Payment cards,value
EFTPOS Terminal,Debit card,JAN 2016,282.0,Payment cards,value
ATM,ATM card,JAN 2016,7841.0,Payment cards,value
ATM,Debit card,JAN 2016,11539.0,Payment cards,value
EFTPOS Terminal,Credit card,FEB 2016,5946.0,Payment cards,value
EFTPOS Terminal,Debit card,FEB 2016,273.0,Payment cards,value
ATM,ATM card,FEB 2016,7691.0,Payment cards,value
ATM,Debit card,FEB 2016,11267.0,Payment cards,value
EFTPOS Terminal,Credit card,MAR 2016,6246.0,Payment cards,value
EFTPOS Terminal,Debit card,MAR 2016,300.0,Payment cards,value
ATM,ATM card,MAR 2016,8087.0,Payment cards,value
ATM,Debit card,MAR 2016,12210.0,Payment cards,value
EFTPOS Terminal,Credit card,APR 2016,5806.0,Payment cards,value
EFTPOS Terminal,Debit card,APR 2016,257.0,Payment cards,value
ATM,ATM card,APR 2016,7198.0,Payment cards,value
ATM,Debit card,APR 2016,11231.0,Payment cards,value
EFTPOS Terminal,Credit card,MAY 2016,5117.0,Payment cards,value
EFTPOS Terminal,Debit card,MAY 2016,277.0,Payment cards,value
ATM,ATM card,MAY 2016,7753.0,Payment cards,value
ATM,Debit card,MAY 2016,11153.0,Payment cards,value
EFTPOS Terminal,Credit card,JUN 2016,5757.0,Payment cards,value
EFTPOS Terminal,Debit card,JUN 2016,267.0,Payment cards,value
ATM,ATM card,JUN 2016,7003.0,Payment cards,value
ATM,Debit card,JUN 2016,11218.0,Payment cards,value
EFTPOS Terminal,Credit card,JUL 2016,5694.0,Payment cards,value
EFTPOS Terminal,Debit card,JUL 2016,283.0,Payment cards,value
ATM,ATM card,JUL 2016,7220.0,Payment cards,value
ATM,Debit card,JUL 2016,11606.0,Payment cards,value
EFTPOS Terminal,Credit card,AUG 2016,5570.0,Payment cards,value
EFTPOS Terminal,Debit card,AUG 2016,274.0,Payment cards,value
ATM,ATM card,AUG 2016,6964.0,Payment cards,value
ATM,Debit card,AUG 2016,11405.0,Payment cards,value
EFTPOS Terminal,Credit card,SEP 2016,5341.0,Payment cards,value
EFTPOS Terminal,Debit card,SEP 2016,251.0,Payment cards,value
ATM,ATM card,SEP 2016,6469.0,Payment cards,value
ATM,Debit card,SEP 2016,11019.0,Payment cards,value
EFTPOS Terminal,Credit card,OCT 2016,5663.0,Payment cards,value
EFTPOS Terminal,Debit card,OCT 2016,264.0,Payment cards,value
ATM,ATM card,OCT 2016,7059.0,Payment cards,value
ATM,Debit card,OCT 2016,11533.0,Payment cards,value
EFTPOS Terminal,Credit card,NOV 2016,5711.0,Payment cards,value
EFTPOS Terminal,Debit card,NOV 2016,269.0,Payment cards,value
ATM,ATM card,NOV 2016,6678.0,Payment cards,value
ATM,Debit card,NOV 2016,11163.0,Payment cards,value
EFTPOS Terminal,Credit card,DEC 2016,7118.0,Payment cards,value
EFTPOS Terminal,Debit card,DEC 2016,313.0,Payment cards,value
ATM,ATM card,DEC 2016,7853.0,Payment cards,value
ATM,Debit card,DEC 2016,13068.0,Payment cards,value
EFTPOS Terminal,Credit card,JAN 2017,5991.0,Payment cards,value
EFTPOS Terminal,Debit card,JAN 2017,297.0,Payment cards,value
ATM,ATM card,JAN 2017,6972.0,Payment cards,value
ATM,Debit card,JAN 2017,11626.0,Payment cards,value
EFTPOS Terminal,Credit card,FEB 2017,5832.0,Payment cards,value
EFTPOS Terminal,Debit card,FEB 2017,264.0,Payment cards,value
ATM,ATM card,FEB 2017,5654.0,Payment cards,value
ATM,Debit card,FEB 2017,10542.0,Payment cards,value
EFTPOS Terminal,Credit card,MAR 2017,6277.0,Payment cards,value
EFTPOS Terminal,Debit card,MAR 2017,282.0,Payment cards,value
ATM,ATM card,MAR 2017,7116.0,Payment cards,value
ATM,Debit card,MAR 2017,12279.0,Payment cards,value
EFTPOS Terminal,Credit card,APR 2017,5807.0,Payment cards,value
EFTPOS Terminal,Debit card,APR 2017,273.0,Payment cards,value
ATM,ATM card,APR 2017,6683.0,Payment cards,value
ATM,Debit card,APR 2017,11346.0,Payment cards,value
EFTPOS Terminal,Credit card,MAY 2017,5939.0,Payment cards,value
EFTPOS Terminal,Debit card,MAY 2017,273.0,Payment cards,value
ATM,ATM card,MAY 2017,6581.0,Payment cards,value
ATM,Debit card,MAY 2017,11346.0,Payment cards,value
EFTPOS Terminal,Credit card,JUN 2017,5823.0,Payment cards,value
EFTPOS Terminal,Debit card,JUN 2017,274.0,Payment cards,value
ATM,ATM card,JUN 2017,6266.0,Payment cards,value
ATM,Debit card,JUN 2017,11045.0,Payment cards,value
EFTPOS Terminal,Credit card,JUL 2017,5878.0,Payment cards,value
EFTPOS Terminal,Debit card,JUL 2017,292.0,Payment cards,value
ATM,ATM card,JUL 2017,6355.0,Payment cards,value
ATM,Debit card,JUL 2017,11198.0,Payment cards,value
EFTPOS Terminal,Credit card,AUG 2017,5854.0,Payment cards,value
EFTPOS Terminal,Debit card,AUG 2017,299.0,Payment cards,value
ATM,ATM card,AUG 2017,6179.0,Payment cards,value
ATM,Debit card,AUG 2017,11133.0,Payment cards,value
EFTPOS Terminal,Credit card,SEP 2017,5721.0,Payment cards,value
